Latitude,Longitude,Disturbance agent
40.5729444,-121.34583,fire
43.93624,-121.53169,fire
40.4207222,-121.56461,fire
40.7221389,-121.56917,fire
36.0833333,-121.58333,fire
40.6998611,-121.58447,fire
43.3201389,-121.65683,outbreak
50.2666667,-121.65,fire
41.5833333,-121.6,hydro_geo
40.0833333,-121.71667,fire
44.2339167,-121.81431,outbreak
44.2339167,-121.81431,fire
44.1969619,-121.91804,outbreak
50.2958619,-121.96709,fire
50.5,-121,outbreak
46.1913611,-122.19556,hydro_geo
44.2145278,-122.24114,fire
49.3333333,-122.5,outbreak
38.0216389,-122.77892,fire
42.2031111,-122.86739,fire
48.6852608213396,-123.233110386718,fire
52.18,-123.34031,outbreak
39.2333333,-123.38333,fire
48.4663889,-123.465,outbreak
48.5333333,-123.47,outbreak
48.4316667,-123.48528,outbreak
48.4605556,-123.50333,outbreak
48.3213889,-123.54472,outbreak
46.2239167,-123.57056,hydro_geo
48.8236111,-123.59861,outbreak
39.3584722,-123.65819,fire
48.5294444,-123.70528,outbreak
48.5869444,-123.70528,outbreak
48.6016667,-123.72333,outbreak
48.83,-123.76,outbreak
49.0636111,-123.80417,outbreak
49.1791667,-123.83361,outbreak
51.9788153,-123.91302,fire
51.9788153,-123.91302,outbreak
55.9337778,-124.34067,outbreak
48.62,-124.7,hydro_geo
49.25,-125.5,fire
55.026845,-126.023,outbreak
61.3,-135.56667,fire
60.8,-137.5,outbreak
64.6811111,-148.37925,fire
63.67,-149.58,hydro_geo
60.5374472,-151.04553,outbreak
60.3544444,-151.23269,outbreak
60.2083333,-154.30667,outbreak
58.7159178,-155.6488,outbreak
58.69,-156.66056,outbreak
65.35,-17.44,hydro_geo
57.1333333,-3.7666667,wind
40.7936111,-3.9205556,hydro_geo
57.15,-4.9333333,wind
-22.516667,-42.25,fire
40.2447222,-5.1305556,fire
40.2288042,-5.1544319,hydro_geo
64.4595,-50.6456,outbreak
-38.166667,-62.133333,fire
49.4666667,-63,outbreak
-28.05,-64.25,fire
-36.668056,-64.420278,fire
46.2073056,-64.449528,hydro_geo
-31.4075,-64.456667,fire
-36.477778,-64.575278,fire
-22.291861,-64.689278,fire
-36.556111,-65.438056,fire
-26.374083,-65.486889,fire
-26.263222,-65.524639,fire
49.2409722,-65.6439444,hydro_geo
-27.021333,-65.673889,fire
-27.004583,-65.75675,fire
18.2916667,-65.758333,wind
49.1745556,-65.796278,fire
49.1745556,-65.796278,hydro_geo
48.52,-65.79,fire
49.1768056,-65.813694,hydro_geo
49.1929444,-65.9050556,hydro_geo
-27.329861,-65.952222,fire
48.4833333,-66.483333,fire
49.711228,-67.37467,outbreak
49.47,-67.96,outbreak
49.73,-68.16,outbreak
49.63,-68,fire
50,-68,outbreak
50.28,-69.25,wind
46.2,-69.5,outbreak
50.9333333,-70.25,outbreak
50.9333333,-70.25,fire
46.5,-70.32,outbreak
48.85,-70.333333,outbreak
49.6833333,-70.366667,outbreak
49.6833333,-70.366667,fire
50.4333333,-70.483333,outbreak
50.4333333,-70.483333,fire
41.85,-70.616667,wind
47.682485,-70.754355,outbreak
47.9333333,-70.75,outbreak
47.9333333,-70.75,fire
41.4668333,-70.782139,wind
41.4668056,-70.783056,wind
47.6833333,-70.833333,outbreak
47.6833333,-70.833333,fire
50.1833333,-70.933333,outbreak
50.1833333,-70.933333,fire
43.13,-70.95,wind
42.6333333,-70.9833333,outbreak
49,-70,outbreak
-41.055278,-71.030556,fire
51.4333333,-71.083333,outbreak
51.4333333,-71.083333,fire
51.6833333,-71.116667,outbreak
51.6833333,-71.116667,fire
45.45075,-71.157889,outbreak
45.4666667,-71.15,outbreak
48.2166667,-71.25,outbreak
51.1833333,-71.25,outbreak
51.1833333,-71.25,fire
-41.4,-71.26,outbreak
51.9333333,-71.2,outbreak
51.9333333,-71.2,fire
47.441498,-71.303128,fire
49.1833333,-71.333333,outbreak
49.1833333,-71.333333,fire
44.2666667,-71.3,hydro_geo
46.54,-71.41,outbreak
52.1833333,-71.433333,outbreak
52.1833333,-71.433333,fire
-41.004639,-71.434417,fire
-41.004639,-71.434417,hydro_geo
-43.811111,-71.4635,fire
49.4333333,-71.466667,outbreak
49.4333333,-71.466667,fire
48.207311,-71.509133,outbreak
-39.583333,-71.516667,fire
-40.799639,-71.541444,fire
-40.799639,-71.541444,wind
-40.799639,-71.541444,hydro_geo
45.3904444,-71.551028,fire
-44.841222,-71.58625,fire
49.59,-71.59,fire
45.3,-71.5,hydro_geo
50.29,-71.5,fire
50.6833333,-71.633333,outbreak
50.6833333,-71.633333,fire
48.1833333,-71.716667,outbreak
48.1833333,-71.716667,fire
44.0232222,-71.831361,outbreak
47.4933056,-71.855111,outbreak
49.7166667,-71.933333,outbreak
48.9333333,-71.983333,outbreak
48.9333333,-71.983333,fire
47.7379167,-72.116556,outbreak
-47.623139,-72.159194,fire
47.0124722,-72.168056,outbreak
50.6833333,-72.183333,outbreak
42.49,-72.2,wind
-47.760167,-72.344083,fire
-38.39,-72.35,fire
54.25,-72.38,fire
-47.578139,-72.520611,fire
49.0034444,-72.5539722,outbreak
-50.447389,-72.780944,fire
55.1428611,-72.786639,hydro_geo
-49.305694,-72.831722,fire
-49.31575,-72.867444,fire
47.7970833,-72.879111,outbreak
-49.332444,-72.911667,fire
-49.2024444,-72.9535278,fire
-49.202444,-72.953528,fire
-49.065111,-72.958667,fire
-49.331944,-72.958972,fire
-49.240778,-72.964222,fire
-50.467361,-72.9705,fire
-50.4673611,-72.9705,fire
50.1666667,-72,fire
-49.382306,-73.003611,fire
55.1594167,-73.047806,hydro_geo
-39.5,-73.07,fire
45.5522222,-73.150833,hydro_geo
-40.17425,-73.473694,fire
48.7077778,-73.757556,outbreak
44.2170333,-73.76405,fire
44.51995,-73.823817,fire
54.9584167,-73.845306,outbreak
48.9686111,-73.862972,outbreak
44.3656944,-73.903139,outbreak
53.2,-74.15,hydro_geo
42.805,-74.255,hydro_geo
48.55,-74.31,fire
48.6962631,-74.449332,fire
39.8910167,-74.579619,outbreak
56.3560278,-74.62325,hydro_geo
41.3075,-75.097222,outbreak
41.3075,-75.097222,fire
49.99,-75.73,fire
37.128,-75.9611,wind
57.7333333,-76.166667,fire
48.88,-76.29,fire
48.6309569,-76.327994,fire
57.7666667,-76.333333,outbreak
43.320491,-76.388578,outbreak
48.55,-77.28,fire
53.6146667,-77.623806,fire
53.5833333,-77.666667,fire
55.3,-77.683333,outbreak
40.7163889,-77.900833,outbreak
40.7163889,-77.900833,fire
41.3175,-77.900833,outbreak
41.3175,-77.900833,fire
48.5666667,-78.116667,outbreak
47.2,-78.266667,outbreak
46.37,-78.45,fire
47.19,-78.52,fire
47.3093889,-78.532,outbreak
46.6666667,-78.75,fire
38.6363,-78.8502,wind
48.5,-79.016667,fire
41.3175,-79.039167,outbreak
41.3175,-79.039167,fire
46.7166667,-79.066667,outbreak
37.53,-79.09,fire
48.6943333,-79.176778,fire
41.8204722,-79.27125,hydro_geo
48.4666667,-79.283333,outbreak
43.39,-79.28,fire
48.56,-79.53,fire
37.9293006,-79.612298,fire
47.5,-79,fire
48.5,-79,fire
49,-79,fire
49.5,-79,fire
48.9658333,-80.018361,fire
27.0166667,-80.116667,wind
37.11,-80.28,fire
37.22,-80.42,wind
37.2703056,-80.502417,wind
37.1833333,-80.5,wind
37.35,-80.8,fire
37.9833333,-80.95,fire
39.9986111,-80.997222,fire
37.027,-81.142,wind
36.23,-81.34,wind
24.699985,-81.372798,fire
27.4833333,-81.516667,wind
35.55,-81.55,fire
29.6728333,-82.032972,fire
39.13,-82.23,fire
39.19,-82.38,fire
39.2,-82.38,fire
39.17,-82.39,fire
39.19,-82.41,fire
39.34,-82.72,fire
34.7722222,-83.143056,wind
34.7722222,-83.143056,outbreak
34.7722222,-83.143056,fire
34.78,-83.147222,fire
38.645,-83.1786111,fire
38.68,-83.21,fire
34.8583333,-83.2375,wind
34.8583333,-83.2375,outbreak
34.8583333,-83.2375,fire
34.7,-83.256389,wind
34.7,-83.256389,outbreak
34.7,-83.256389,fire
35.03,-83.25,wind
38.24,-83.38,fire
35.55,-83.46,fire
38.11,-83.59,fire
35.33,-83.5,fire
37.8838889,-83.6955561,fire
35.55,-83.844444,wind
35.55,-83.844444,outbreak
35.55,-83.844444,fire
37.05,-83,fire
37.54,-84.25,fire
40.15,-84.39,fire
30.44,-85.01,hydro_geo
29.847703,-85.410311,wind
29.8,-85.416667,wind
35.4533,-85.583782,fire
46.4,-85,wind
46.25,-86.083333,fire
46.2584642,-86.093994,fire
30.5666667,-86.15,wind
33.1961111,-86.4625,wind
30.3666667,-87.133333,wind
41.94,-87.37,fire
30.3338889,-87.801361,wind
46.87,-87.88,fire
31.0666667,-88.066667,fire
45.2671667,-88.2593056,fire
30.4,-88.41,wind
46.42,-88.78,fire
46.0490278,-89.6605556,fire
44.2597778,-90.6123611,fire
37.1651944,-91.161333,fire
37.0423889,-91.186556,fire
37.08,-91.27,fire
46.4978056,-91.3440278,fire
31.17,-91.43,hydro_geo
48.425181,-91.466513,outbreak
47.817888,-91.486114,outbreak
46.0829167,-92.0929167,fire
36,-92.15,fire
48.788783,-92.367499,outbreak
31.4666667,-92.983333,fire
35.4833333,-93.05,fire
35.5166667,-93.083333,fire
47.84,-93.39,fire
35.6875278,-93.515111,outbreak
35.6875278,-93.515111,fire
47.9392,-93.843816,outbreak
35.4666667,-93.883333,fire
30.59,-94.33,wind
36.1810833,-96.22975,fire
19.5,-97.166667,hydro_geo
19.05,-98.583333,hydro_geo
19.0166667,-98.616667,hydro_geo
19.050693,-98.621213,hydro_geo
19.2333333,-98,hydro_geo
49.8,-99.4,outbreak
44.18,10.23,hydro_geo
51.799,10.62714,outbreak
46.3372333,10.7009378,hydro_geo
46.9833333,10.8666667,hydro_geo
47.85,100.37,fire
38.1777778,100.433333,hydro_geo
47.47,101.07,fire
46.76,101.98,fire
49.57,104.23,fire
49.62,104.33,fire
49.63,104.34,fire
49.93,106.2,fire
50.13,106.44,fire
48.15,106.55,fire
48.26,106.88,fire
47.79,106.92,fire
49.42,107.39,fire
48.09,107.68,fire
33.953138,107.769513,wind
47.16,11.18,hydro_geo
46.3386111,11.5405556,outbreak
47.45,11.6333333,hydro_geo
46.2786111,11.7968611,hydro_geo
48.6,110.42,fire
48.37,110,fire
48.53,111.07,fire
48.03,111.58,fire
48.44,111.71,fire
49.18,111.8,fire
33.7972222,116.748611,fire
44.2333333,118.483333,fire
46.6784167,12.0729778,hydro_geo
61.55,12.75,fire
24.5283333,121.375278,wind
24.5280556,121.375556,wind
24.5897222,121.423889,wind
24.6683333,121.425,wind
29.8,121.783333,wind
33.3666667,126.583333,wind
35.3333333,127.666667,wind
34.95,127.68,wind
38.1666667,128.333333,wind
41.3,128,wind
49.1,13.11,outbreak
49.177,13.18029,outbreak
49.1688889,13.1844444,wind
49.1688889,13.1844444,outbreak
49.118,13.31103,outbreak
49.01,13.47,outbreak
48.58,13.48,wind
48.47,13.49,outbreak
48.52,13.5,wind
48.59,13.5,wind
48.854,13.8136,outbreak
57.77,13.84,fire
62.13,13.87,fire
43.1666667,131.5,wind
34.6666667,133.25,outbreak
44.1666667,134.166667,wind
45.1666667,135.833333,wind
36.0189722,138.356278,hydro_geo
36.8833333,139.816667,wind
38.15,139.85,wind
61.95,14.03,fire
46.4392236,14.1460594,hydro_geo
48.4,14.24,wind
60.2333333,14.3333333,outbreak
47.35,14.38,hydro_geo
48.39,14.42,wind
48.4,14.42,wind
60.84,14.47,fire
59.48,14.52,fire
56.88,14.53,fire
60,14.53,fire
56.4666667,14.5666667,fire
60,14.56,fire
56.47,14.57,fire
59.99,14.61,fire
59.47,14.62,fire
60.92,14.62,fire
61.12,14.62,fire
59.99,14.63,fire
46.3333333,14.65,wind
61.15,14.66,fire
58.72,14.6,fire
60.08,14.74,fire
57.17,14.78,fire
59.93,14.78,fire
48.67,14.7,wind
61.76,14.81,fire
59.94,14.83,fire
62.18,14.91,fire
35.1813889,140.156944,wind
39.75,140.75,hydro_geo
45.1806111,141.244389,hydro_geo
42.6829167,142.214444,hydro_geo
44.3333333,142.25,wind
42.7266667,142.338056,hydro_geo
-43.2130556,146.5844444,fire
-42.788746,146.754268,fire
56.8,15.06,fire
59.9,15.12,fire
59.93,15.17,fire
62.61,15.23,fire
59.84,15.26,fire
56.93,15.27,fire
61.3,15.3333333,fire
61.3,15.33,fire
62.75,15.43,fire
62.75,15.44,fire
49.47,15.4,wind
58.1,15.4,fire
62.29,15.54,fire
57.76,15.59,fire
58.63,15.61,fire
58.64,15.61,fire
57.47,15.62,fire
63.2166667,15.6666667,fire
63.22,15.67,fire
57.5,15.6,fire
62.2,15.7333333,fire
62.2,15.73,fire
61.6,15.74,fire
61.38,15.82,fire
56.49,15.93,fire
57.0166667,16.0166667,fire
57.02,16.02,fire
39.1732222,16.1543333,hydro_geo
50.68,16.23,hydro_geo
50.4555833,16.3889444,wind
50.46,16.38,hydro_geo
59.2,16.42,fire
64.64,16.67,fire
59.22,16.98,fire
-21.702889,165.994111,fire
-43.625111,169.915694,hydro_geo
50.15,17.1166667,hydro_geo
62.7166667,17.1666667,fire
50.1666667,17.1,hydro_geo
62.7906944,17.25325,wind
59.16,17.27,fire
59.04,17.32,fire
59.12,17.36,fire
-42.535778,171.242778,hydro_geo
-41.65,172.333333,hydro_geo
